PersonRoleId,PersonId,LastName,UsedFirstName,StartDate,StartDateIsApproximate,EndDate,EndDateIsApproximate,EndReasonEn,EndReasonTypeEn,SourceOfInformationEn,IsActing,ActingTextEn,HasCrossedTheFloor,OrganizationId,OrganizationLongEn,OrganizationShortEn,OrganizationAcronymEn,OrganizationTypeId,OrganizationTypeEn,OrganizationProvinceEn,OrganizationHasProfile,IsSenatorialDivision,ToBeStyledAsEn,GroupId,Source,PortFolioEn,Committee,GroupingTitleEn,GroupingOrder,ParliamentStart,ParliamentEnd,ParliamentNumber,PartyOrganizationId,PartyEn,PartyStartDate,PartyEndDate,PersonPersonId,PersonLastName,PersonUsedFirstName,PersonGender,MemberOfParliament,IsMP,IsSenator,GovernorGeneral,NotesEn,InternalNotes,IsCurrent,RoleId,NameEn,Ordinal,Classes
318783,20108,Baker,Yvan,2014-06-12,False,2018-05-08,False,,,,False,,False,4582,Legislative Assembly of Ontario,Legislative Assembly,,6,Chamber Of Parliament (Prov),,True,False,,0,,,,Provincial Experience,0,,,0,4825,Liberal Party,2014-06-12,2018-05-08,0,,,,,False,False,,,,False,720,Elected Representative,,Minister|Provincial and Territorial Responsabilities
318781,20108,Baker,Yvan,2014-06-12,False,2018-05-08,False,,,,False,,False,4825,Liberal Party,Liberal,Lib.,31,Provincial Party,,True,False,,0,,,,Provincial Experience,0,,,0,4825,Liberal Party,2014-06-12,2018-05-08,0,,,,,False,False,,,,False,722,Party Member,,Parliamentarian
318782,20108,Baker,Yvan,2014-06-12,False,2018-05-08,False,,,,False,,False,2911,Etobicoke Centre,,,8,Provincial Constituency,,True,False,,0,,,,Provincial Experience,0,,,0,4825,Liberal Party,2014-06-12,2018-05-08,0,,,,,False,False,,,,False,2997,Provincial Constituency Member,,Prov
109825,14226,Bergeron,Stéphane,2005-12-12,False,2018-09-30,False,,,,False,,False,5625,National Assembly of Quebec,National Assembly,,6,Chamber Of Parliament (Prov),,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2005-12-12,2018-09-30,0,,,,,False,False,,,,False,720,Elected Representative,0.0,Minister|Provincial and Territorial Responsabilities
62576,14226,Bergeron,Stéphane,2005-12-12,False,2018-09-30,False,,,,False,,False,6386,Parti Québécois,Parti Québécois,P.Q.,31,Provincial Party,,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2005-12-12,2018-09-30,0,,,,,False,False,,,,False,722,Party Member,,Parliamentarian
21415,14226,Bergeron,Stéphane,2005-12-12,False,2018-09-30,False,,,,False,,False,9578,Verchères,,,8,Provincial Constituency,,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2005-12-12,2018-09-30,0,,,,,False,False,,,,False,2997,Provincial Constituency Member,,Prov
318804,14226,Bergeron,Stéphane,2012-09-19,False,2014-03-23,False,,,,False,,False,5625,National Assembly of Quebec,National Assembly,,6,Chamber Of Parliament (Prov),,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2005-12-12,2018-09-30,0,,,,,False,False,,,,False,1804,Minister of Public Safety,,Prov
318755,20087,Blanchet,Yves-François,2008-12-08,False,2017-04-07,False,,,,False,,False,5625,National Assembly of Quebec,National Assembly,,6,Chamber Of Parliament (Prov),,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2008-12-08,2014-04-07,0,,,,,False,False,,,,False,720,Elected Representative,,Minister|Provincial and Territorial Responsabilities
318779,20087,Blanchet,Yves-François,2008-12-08,False,2014-04-07,False,,,,False,,False,6386,Parti Québécois,Parti Québécois,P.Q.,31,Provincial Party,,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2008-12-08,2014-04-07,0,,,,,False,False,,,,False,722,Party Member,,Parliamentarian
318756,20087,Blanchet,Yves-François,2008-12-08,False,2012-09-03,False,,,,False,,False,15230,Drummond,,,8,Provincial Constituency,,True,False,,0,,,,Provincial Experience,0,,,0,6386,Parti Québécois,2008-12-08,2014-04-07,0,,,,,False,False,,,,False,2997,Provincial Constituency Member,,Prov
