PersonId,LastName,UsedFirstName,StraightDisplayName,Gender,LanguageEn,PartyEn,ConstituencyEn,ProvinceEn,TypeOfParliamentarianEn,DateOfBirth,DateOfBirthIsApproximate,CityOfBirthEn,ProvinceOfBirthEn,CountryOfBirthEn,IsCanadianOrigin,DiedInOffice,DateOfDeath,DeceasedOnDuty
15802,Adams,Willie,Willie Adams,M,English,Liberal Party of Canada (1977/04/05 - 2009/06/22),Nunavut (1999/04/01 - 2009/06/22)|Northwest Territories (1977/04/05 - 1999/03/31),Nunavut|Northwest Territories,Senator (1977/04/05 - 2009/06/22),1934-06-22,False,Fort Chimo,Quebec,Canada,False,False,,
12753,Allmand,William Warren,William Warren Allmand,M,English,Liberal Party of Canada (1965/11/08 - 1997/02/24),Notre-Dame-de-Grâce (1988/11/21 - 1997/02/24)|Notre-Dame-de-Grâce--Lachine East (1984/09/04 - 1988/11/20)|Notre-Dame-de-Grâce (1965/11/08 - 1984/09/03),Quebec|Quebec|Quebec,MP (1988/11/21 - 1997/02/24)|MP (1984/09/04 - 1988/11/20)|MP (1965/11/08 - 1984/09/03),1932-09-19,False,Montreal,Quebec,Canada,False,False,2016-12-07,False
9905,Althouse,Victor Fredrich (Vic),Victor Fredrich (Vic) Althouse,M,English,New Democratic Party (1980/02/18 - 1997/06/01),Mackenzie (1988/11/21 - 1997/06/01)|Humboldt--Lake Centre (1980/02/18 - 1988/11/20),Saskatchewan|Saskatchewan,MP (1988/11/21 - 1997/06/01)|MP (1980/02/18 - 1988/11/20),1937-04-15,False,Wadena,Saskatchewan,Canada,False,False,,
7084,Anawak,Jack Iyerak,Jack Iyerak Anawak,M,"English, Inuktituk",Liberal Party of Canada (1988/11/21 - 1997/04/15),Nunatsiaq (1988/11/21 - 1997/04/15),Northwest Territories,MP (1988/11/21 - 1997/04/15),1950-09-26,False,Repulse Bay,Northwest Territories,Canada,False,False,,
4470,Anderson,Edna,Edna Anderson,F,,Progressive Conservative Party (1988/11/21 - 1993/10/24),Simcoe Centre (1988/11/21 - 1993/10/24),Ontario,MP (1988/11/21 - 1993/10/24),1922-11-09,False,St Catharines,Ontario,Canada,False,False,,
2522,Anderson,Margaret Jean,Margaret Jean Anderson,F,,Liberal Party of Canada (1978/03/23 - 1990/08/07),Northumberland-Miramichi (1978/03/23 - 1990/08/07),New Brunswick,Senator (1978/03/23 - 1990/08/07),1915-08-07,False,Burnt Church,New Brunswick,Canada,False,False,2003-12-08,False
2462,Andre,Harvie,Harvie Andre,M,,Progressive Conservative Party (1972/10/30 - 1993/10/24),Calgary Centre (1972/10/30 - 1993/10/24),Alberta,MP (1972/10/30 - 1993/10/24),1940-07-27,False,Edmonton,Alberta,Canada,False,False,2012-10-21,False
300,Andreychuk,Raynell,Raynell Andreychuk,F,English,Conservative Party of Canada (2004/02/02 - 2019/08/13)|Progressive Conservative Party (1993/03/11 - 2004/02/01),Saskatchewan (1993/03/11 - 2019/08/13),Saskatchewan,Senator (1993/03/11 - 2019/08/13),1944-08-14,False,Saskatoon,Saskatchewan,Canada,False,False,,
10565,Angus,Iain Francis,Iain Francis Angus,M,,New Democratic Party (1984/09/04 - 1993/10/24),Thunder Bay--Atikokan (1984/09/04 - 1993/10/24),Ontario,MP (1984/09/04 - 1993/10/24),1947-06-01,False,Fort William,Ontario,Canada,False,False,,
15499,Angus,W. David,W. David Angus,M,English,Conservative Party of Canada (2004/02/02 - 2012/07/21)|Progressive Conservative Party (1993/06/10 - 2004/02/01),Alma (1993/06/10 - 2012/07/21),Quebec,Senator (1993/06/10 - 2012/07/21),1937-07-21,False,Toronto,Ontario,Canada,False,False,,
13227,Argue,Hazen Robert,Hazen Robert Argue,M,,Liberal Party of Canada (1966/02/24 - 1991/10/02)|Liberal Party of Canada (1962/02/20 - 1963/04/07)|New Democratic Party (1961/08/03 - 1962/02/19)|Co-operative Commonwealth Federation (1945/06/11 - 1961/08/02),Regina (1966/02/24 - 1991/10/02)|Assiniboia (1949/06/27 - 1963/04/07)|Wood Mountain (1945/06/11 - 1949/06/26),Saskatchewan|Saskatchewan|Saskatchewan,MP (1949/06/27 - 1963/04/07)|MP (1945/06/11 - 1949/06/26)|Senator (1966/02/24 - 1991/10/02),1921-01-06,False,Kayville,Saskatchewan,Canada,False,False,1991-10-02,True
6147,Arseneault,Guy H.,Guy H. Arseneault,M,"English, French",Liberal Party of Canada (1988/11/21 - 1997/06/01),Restigouche--Chaleur (1989/12/29 - 1997/06/01)|Restigouche (1988/11/21 - 1989/12/28),New Brunswick|New Brunswick,MP (1989/12/29 - 1997/06/01)|MP (1988/11/21 - 1989/12/28),1952-05-11,False,Dalhousie,New Brunswick,Canada,False,False,,
15735,Assad,Mark Joseph,Mark Joseph Assad,M,French,Liberal Party of Canada (1988/11/21 - 2004/06/27),Gatineau (1997/06/02 - 2004/06/27)|Gatineau--La Lièvre (1988/11/21 - 1997/06/01),Quebec|Quebec,MP (1997/06/02 - 2004/06/27)|MP (1988/11/21 - 1997/06/01),1940-06-14,False,Buckingham,Quebec,Canada,False,False,,
7900,Asselin,Martial,Martial Asselin,M,,Progressive Conservative Party (1965/11/08 - 1990/08/07)|Progressive Conservative Party (1958/03/31 - 1962/06/17),Stadacona (1972/09/01 - 1990/08/07)|Charlevoix (1965/11/08 - 1972/08/31)|Charlevoix (1958/03/31 - 1962/06/17),Quebec|Quebec|Quebec,MP (1965/11/08 - 1972/08/31)|MP (1958/03/31 - 1962/06/17)|Senator (1972/09/01 - 1990/08/07),1924-02-03,False,La Malbaie,Quebec,Canada,False,False,2013-01-25,False
9598,Atkins,Norman K.,Norman K. Atkins,M,English,Progressive Conservative Party (1986/06/30 - 2009/06/27),Markham (1986/06/30 - 2009/06/27),Ontario,Senator (1986/06/30 - 2009/06/27),1934-06-27,False,Montclai,New Jersey,United States,False,False,2010-09-28,False
3709,Atkinson,Kenneth David,Kenneth David Atkinson,M,,Progressive Conservative Party (1988/11/21 - 1993/10/24),St. Catharines (1988/11/21 - 1993/10/24),Ontario,MP (1988/11/21 - 1993/10/24),1947-03-02,False,St Catharines,Ontario,Canada,False,False,,
7143,Attewell,Bill,Bill Attewell,M,,Progressive Conservative Party (1984/09/04 - 1993/10/24),Markham--Whitchurch--Stouffville (1989/12/29 - 1993/10/24)|Markham (1988/11/21 - 1989/12/28)|Don Valley East (1984/09/04 - 1988/11/20),Ontario|Ontario|Ontario,MP (1989/12/29 - 1993/10/24)|MP (1988/11/21 - 1989/12/28)|MP (1984/09/04 - 1988/11/20),1932-01-21,False,Toronto,Ontario,Canada,False,False,,
3815,Austin,Jack,Jack Austin,M,English,Liberal Party of Canada (1975/08/19 - 2007/03/02),Vancouver South (1975/08/19 - 2007/03/02),British Columbia,Senator (1975/08/19 - 2007/03/02),1932-03-02,False,Calgary,Alberta,Canada,False,False,,
13107,Axworthy,Chris,Chris Axworthy,M,English,New Democratic Party (1988/11/21 - 1999/05/13),Saskatoon--Rosetown--Biggar (1997/06/02 - 1999/05/13)|Saskatoon--Clark's Crossing (1988/11/21 - 1997/06/01),Saskatchewan|Saskatchewan,MP (1997/06/02 - 1999/05/13)|MP (1988/11/21 - 1997/06/01),1947-03-10,False,Plymouth,,England,False,False,,
9704,Axworthy,Lloyd,Lloyd Axworthy,M,English,Liberal Party of Canada (1979/05/22 - 2000/11/26),Winnipeg South Centre (1988/11/21 - 2000/11/26)|Winnipeg--Fort Garry (1979/05/22 - 1988/11/20),Manitoba|Manitoba,MP (1988/11/21 - 2000/11/26)|MP (1979/05/22 - 1988/11/20),1939-12-21,False,North Battleford,Saskatchewan,Canada,False,False,,
15678,Bake,George,George Bake,M,English,Liberal Party of Canada (1972/10/30 - 2017/09/03),Newfoundland and Labrador (2002/03/26 - 2017/09/03)|Gander--Grand Falls (1988/11/21 - 2002/03/25)|Gander--Twillingate (1974/07/08 - 1988/11/20),Newfoundland and Labrador|Newfoundland and Labrador|Newfoundland and Labrado,MP (1988/11/21 - 2002/03/25)|MP (1974/07/08 - 1988/11/20)|Senator (2002/03/26 - 2017/09/03),1942-09-03,False,Green's Harbou,Newfoundland,Canada,False,False,,
620,Balfou,James,James Balfou,M,English,Progressive Conservative Party (1979/09/13 - 1999/12/12)|Progressive Conservative Party (1972/10/30 - 1979/05/21),Regina (1979/09/13 - 1999/12/12)|Regina East (1972/10/30 - 1979/05/21),Saskatchewan|Saskatchewan,MP (1972/10/30 - 1979/05/21)|Senator (1979/09/13 - 1999/12/12),1928-05-22,False,Regina,Saskatchewan,Canada,False,False,1999-12-12,True
7006,Barootes,Efstathios William (Staff),Efstathios William (Staff) Barootes,M,,Progressive Conservative Party (1984/12/21 - 1993/05/25),Regina-Qu'Appelle (1984/12/21 - 1993/05/25),Saskatchewan,Senator (1984/12/21 - 1993/05/25),1918-11-15,False,Winnipeg,Manitoba,Canada,False,False,2000-07-30,False
16510,Barrett,David,David Barrett,M,,New Democratic Party (1988/11/21 - 1993/10/24),Esquimalt--Juan de Fuca (1988/11/21 - 1993/10/24),British Columbia,MP (1988/11/21 - 1993/10/24),1930-10-02,False,Vancouve,British Columbia,Canada,False,False,2018-02-02,False
8678,Bazin,Jean,Jean Bazin,M,,Progressive Conservative Party (1986/12/29 - 1989/12/08),De la Durantaye (1986/12/29 - 1989/12/08),Quebec,Senator (1986/12/29 - 1989/12/08),1940-01-31,False,Québec,Quebec,Canada,False,False,,
6947,Beatty,Henry Perrin,Henry Perrin Beatty,M,,Progressive Conservative Party (1972/10/30 - 1993/10/24),Wellington--Grey--Dufferin--Simcoe (1988/11/21 - 1993/10/24)|Wellington--Dufferin--Simcoe (1979/05/22 - 1988/11/20)|Wellington--Grey--Dufferin--Waterloo (1972/10/30 - 1979/05/21),Ontario|Ontario|Ontario,MP (1988/11/21 - 1993/10/24)|MP (1979/05/22 - 1988/11/20)|MP (1972/10/30 - 1979/05/21),1950-06-01,False,Toronto,Ontario,Canada,False,False,,
6086,Beaudoin,Gérald A.,Gérald A. Beaudoin,M,French,Conservative Party of Canada (2004/02/02 - 2004/04/15)|Progressive Conservative Party (1988/09/26 - 2004/02/01),Rigaud (1988/09/26 - 2004/04/15),Quebec,Senator (1988/09/26 - 2004/04/15),1929-04-15,False,Montreal,Quebec,Canada,False,False,2008-09-10,False
7942,Beaulieu,Mario,Mario Beaulieu,M,,Progressive Conservative Party (1990/08/30 - 1994/06/22),De la Durantaye (1990/08/30 - 1994/06/22),Quebec,Senator (1990/08/30 - 1994/06/22),1930-02-01,False,Plantagenet,Ontario,Canada,False,False,1998-10-12,False
2947,Bélai,Réginald,Réginald Bélai,M,"English, French",Liberal Party of Canada (1988/11/21 - 2004/06/27),Timmins--James Bay (1997/06/02 - 2004/06/27)|Cochrane--Superior (1988/11/21 - 1997/06/01),Ontario|Ontario,MP (1997/06/02 - 2004/06/27)|MP (1988/11/21 - 1997/06/01),1949-04-06,False,Hearst,Ontario,Canada,False,False,,
14624,Bélisle,Rhéal,Rhéal Bélisle,M,,Progressive Conservative Party (1963/02/04 - 1992/11/03),Sudbury (1963/02/04 - 1992/11/03),Ontario,Senator (1963/02/04 - 1992/11/03),1919-07-03,False,Blezard Valley,Ontario,Canada,False,False,1992-11-03,True
14216,Bell (Heath),Ann Elizabeth Haddon,Ann Elizabeth Haddon Bell (Heath),F,,Independent (1986 - 1989/11/29)|Liberal Party of Canada (1970/10/07 - 1986),Nanaimo-Malaspina (1970/10/07 - 1989/11/29),British Columbia,Senator (1970/10/07 - 1989/11/29),1924-05-26,False,Ottawa,Ontario,Canada,False,False,1989-11-29,True
12255,Bellemare,Eugène,Eugène Bellemare,M,"English, French",Liberal Party of Canada (1988/11/21 - 2004/06/27),Ottawa--Orléans (2000/06/29 - 2004/06/27)|Carleton--Gloucester (1997/06/02 - 2000/06/28)|Carleton--Gloucester (1988/11/21 - 1997/06/01),Ontario|Ontario|Ontario,MP (2000/06/29 - 2004/06/27)|MP (1997/06/02 - 2000/06/28)|MP (1988/11/21 - 1997/06/01),1932-04-06,False,Ottawa,Ontario,Canada,False,False,2018-07-06,False
13896,Belshe,Ross,Ross Belshe,M,,Progressive Conservative Party (1984/09/04 - 1993/10/25),Fraser Valley East (1984/09/04 - 1993/10/24),British Columbia,MP (1984/09/04 - 1993/10/24),1933-01-19,False,Kincaid,Saskatchewan,Canada,False,False,2003-12-12,False
79,Benjamin,Leslie Gordon,Leslie Gordon Benjamin,M,,New Democratic Party (1968/06/25 - 1993/10/24),Regina--Lumsden (1988/11/21 - 1993/10/24)|Regina West (1979/05/22 - 1988/11/20)|Regina--Lake Centre (1968/06/25 - 1979/05/21),Saskatchewan|Saskatchewan|Saskatchewan,MP (1988/11/21 - 1993/10/24)|MP (1979/05/22 - 1988/11/20)|MP (1968/06/25 - 1979/05/21),1925-04-29,False,Medicine Hat,Alberta,Canada,False,False,2003-06-16,False
16035,Berge,David,David Berge,M,,Liberal Party of Canada (1979/05/22 - 1994/12/28),Saint-Henri--Westmount (1988/11/21 - 1994/12/28)|Laurier (1979/05/22 - 1988/11/20),Quebec|Quebec,MP (1988/11/21 - 1994/12/28)|MP (1979/05/22 - 1988/11/20),1950-03-30,False,Ottawa,Ontario,Canada,False,False,,
8839,Bernie,Gilles,Gilles Bernie,M,French,Independent (1993/10/25 - 1997/06/01)|Progressive Conservative Party (1984/09/04 - 1993/10/24),Beauce (1984/09/04 - 1997/06/01),Quebec,MP (1984/09/04 - 1997/06/01),1934-07-15,False,Montreal,Quebec,Canada,False,False,,
16690,Berntson,Eric A.,Eric A. Berntson,M,English,Progressive Conservative Party (1990/09/27 - 2001/02/27),Saskatchewan (1990/09/27 - 2001/02/27),Saskatchewan,Senator (1990/09/27 - 2001/02/27),1941-05-16,False,Oxbow,Saskatchewan,Canada,False,False,2018-09-23,False
3282,Bertrand,Gabrielle,Gabrielle Bertrand,F,,Progressive Conservative Party (1984/09/04 - 1993/10/24),Brome--Missisquoi (1984/09/04 - 1993/10/24),Quebec,MP (1984/09/04 - 1993/10/24),1923-05-15,False,Sweetsburg,Quebec,Canada,False,False,1999-09-10,False
4378,Bevilacqua,Maurizio,Maurizio Bevilacqua,M,"Italian, English",Liberal Party of Canada (1990/12/10 - 2010/09/02)|Liberal Party of Canada (1988/11/21 - 1990/06/07),Vaughan (2004/06/28 - 2010/09/02)|Vaughan--King--Aurora (1997/06/02 - 2004/06/27)|York North (1990/12/10 - 1997/06/01)|York North (1988/11/21 - 1990/06/07),Ontario|Ontario|Ontario|Ontario,MP (2004/06/28 - 2010/09/02)|MP (1997/06/02 - 2004/06/27)|MP (1990/12/10 - 1997/06/01)|MP (1988/11/21 - 1990/06/07),1960-06-01,False,Sulmona,,Italy,False,False,,
1190,Bielish,Martha Palamarek,Martha Palamarek Bielish,F,,Progressive Conservative Party (1979/09/27 - 1990/09/26),Lakeland (1979/09/27 - 1990/09/26),Alberta,Senator (1979/09/27 - 1990/09/26),1915-10-20,False,Smoky Lake,Alberta,Canada,False,False,2010-05-18,False
15883,Bird,John Williston (Bud),John Williston (Bud) Bird,M,,Progressive Conservative Party (1988/11/21 - 1993/10/25),Fredericton--York--Sunbury (1989/12/29 - 1993/10/24)|Fredericton (1988/11/21 - 1989/12/28),New Brunswick|New Brunswick,MP (1989/12/29 - 1993/10/24)|MP (1988/11/21 - 1989/12/28),1932-03-22,False,Fredericton,New Brunswick,Canada,False,False,,
863,Bjornson,David,David Bjornson,M,,Progressive Conservative Party (1988/11/21 - 1993/10/24),Selkirk--Red River (1990/12/19 - 1993/10/24)|Selkirk (1988/11/21 - 1990/12/18),Manitoba|Manitoba,MP (1990/12/19 - 1993/10/24)|MP (1988/11/21 - 1990/12/18),1947-07-07,False,Selkirk,Manitoba,Canada,False,False,,
1713,Black,Dawn,Dawn Black,F,English,New Democratic Party (2006/01/23 - 2009/04/13)|New Democratic Party (1988/11/21 - 1993/10/24),New Westminster--Coquitlam (2006/01/23 - 2009/04/13)|New Westminster--Burnaby (1988/11/21 - 1993/10/24),British Columbia|British Columbia,MP (2006/01/23 - 2009/04/13)|MP (1988/11/21 - 1993/10/24),1943-04-01,False,Vancouve,British Columbia,Canada,False,False,,
10866,Blackburn,Derek Nigel Ernest,Derek Nigel Ernest Blackburn,M,,New Democratic Party (1971/05/31 - 1993/05/31),Brant (1971/05/31 - 1993/05/31),Ontario,MP (1971/05/31 - 1993/05/31),1934-06-16,False,Sault Ste Marie,Ontario,Canada,False,False,2017-10-12,False
13876,Blackburn,Jean-Pierre,Jean-Pierre Blackburn,M,French,Conservative Party of Canada (2006/01/23 - 2011/05/01)|Progressive Conservative Party (1984/09/04 - 1993/10/24),Jonquière--Alma (2006/01/23 - 2011/05/01)|Jonquière (1984/09/04 - 1993/10/24),Quebec|Quebec,MP (2006/01/23 - 2011/05/01)|MP (1984/09/04 - 1993/10/24),1948-07-06,False,Jonquière,Quebec,Canada,False,False,,
14065,Blaikie,William Alexander (Bill),William Alexander (Bill) Blaikie,M,English,New Democratic Party (1979/05/22 - 2008/10/13),Elmwood--Transcona (2004/06/28 - 2008/10/13)|Winnipeg--Transcona (1997/06/02 - 2004/06/27)|Winnipeg Transcona (1988/11/21 - 1997/06/01)|Winnipeg--Birds Hill (1979/05/22 - 1988/11/20),Manitoba|Manitoba|Manitoba|Manitoba,MP (2004/06/28 - 2008/10/13)|MP (1997/06/02 - 2004/06/27)|MP (1988/11/21 - 1997/06/01)|MP (1979/05/22 - 1988/11/20),1951-06-19,False,Winnipeg,Manitoba,Canada,False,False,,
8631,Blais,Pierre,Pierre Blais,M,,Progressive Conservative Party (1984/09/04 - 1993/10/24),Bellechasse (1984/09/04 - 1993/10/24),Quebec,MP (1984/09/04 - 1993/10/24),1948-12-30,False,Berthier-sur-me,Quebec,Canada,False,False,,
5921,Blenkarn,Donald Alex,Donald Alex Blenkarn,M,,Progressive Conservative Party (1979/05/22 - 1993/10/24)|Progressive Conservative Party (1972/10/30 - 1974/07/07),Mississauga South (1979/05/22 - 1993/10/24)|Peel South (1972/10/30 - 1974/07/07),Ontario|Ontario,MP (1979/05/22 - 1993/10/24)|MP (1972/10/30 - 1974/07/07),1930-06-17,False,Toronto,Ontario,Canada,False,False,2012-01-30,False
6997,Blondin-Andrew,Ethel Dorothy,Ethel Dorothy Blondin-Andrew,F,English,Liberal Party of Canada (1988/11/21 - 2006/01/22),Western Arctic (1988/11/21 - 2006/01/22),Northwest Territories,MP (1988/11/21 - 2006/01/22),1951-03-25,False,Fort Norman (Tulita),Northwest Territories,Canada,False,False,,
