PersonId,LastName,UsedFirstName,SchoolNameLongEn,FieldOfStudyEn,DiplomaLongEn,GraduationYear
13134,Abbott,Anthony Chisholm,Bishop's University,Arts,Bachelor,
13134,Abbott,Anthony Chisholm,Osgoode Hall Law School,Laws,Bachelor (Juris),
3761,Abbott,Douglas Charles,McGill University,Civil Law,Bachelor,
3761,Abbott,Douglas Charles,Bishop's University,Arts,Bachelor,
3761,Abbott,Douglas Charles,Université de Dijon,Laws,Diploma,
14025,Abbott,Jim,University of British Columbia,Management,Diploma,1964.0
8200,Abbott,John Joseph Caldwell,McGill University,Administrative Law,Bachelor,1854.0
8200,Abbott,John Joseph Caldwell,McGill University,Administrative Law,Doctorate,1867.0
2003,Ablonczy,Diane,University of Calgary,Education,Bachelor,1973.0
2003,Ablonczy,Diane,University of Calgary,Laws,Bachelor,1980.0
18421,Aboultaif,Ziad,Unknown,Business Administration,Diploma,
14709,Achim,Honoré,Laval University,Laws,Unknown,
17878,Adams,Eve,University of Western Ontario,Arts,Bachelor,
17878,Adams,Eve,University of Windsor,Negotiation,Certificate,
14267,Adams,Peter,Sheffield University,Arts,Honours Bachelor,1958.0
14267,Adams,Peter,Sheffield University,Education,Diploma,1959.0
14267,Adams,Peter,McGill University,Geography,Master,1962.0
14267,Adams,Peter,McGill University,Geography,Doctorate,1966.0
16376,Adamson,Agar Rodney,Royal Military College of Canada,Unknown,Unknown,
16376,Adamson,Agar Rodney,University of Oxford,Unknown,Unknown,
4700,Addison,John Hollings,University of Toronto,Arts,Bachelor,1953.0
17890,Adler,Mark,University of Toronto,History and Political Science,Bachelor,1984.0
17890,Adler,Mark,Carleton University,Public Administration,Unknown,1988.0
8324,Aglukkaq,Leona,University of Winnipeg,Human Resources,Diploma,
8211,Aiken,Gordon Harvey,Osgoode Hall Law School,Laws,Diploma,1940.0
8211,Aiken,Gordon Harvey,York University,Laws,Bachelor,1991.0
958,Aikins,James Albert Manning,University of Toronto,Arts,Bachelor,1875.0
958,Aikins,James Albert Manning,University of Toronto,Laws,Master,1877.0
958,Aikins,James Albert Manning,University of Manitoba,Arts,Master,
11553,Aikins,James Cox,University of Victoria,Unknown,Unknown,
4307,Aird,John Black,Osgoode Hall Law School,Laws,Master,
4307,Aird,John Black,Trinity College,Arts,Bachelor,
13818,Aitken,Margaret,University of Toronto,Unknown,Unknown,
15850,Alarie,Hélène,Laval University,Science,Bachelor,1963.0
17852,Albas,Dan,Okanagan University College,Unknown,Unknown,
14757,Albrecht,Harold,University of Toronto,Dentistry,Doctorate,
14757,Albrecht,Harold,Wilfrid Laurier University,Unknown,Unknown,
4112,Alcock,Reginald B.,Simon Fraser University,Communications,Bachelor,1976.0
4112,Alcock,Reginald B.,Harvard University,Public Administration,Master,1990.0
18432,Aldag,John,University of Victoria,Management,Diploma,
18432,Aldag,John,Royal Roads University,Business Administration,Master,
18432,Aldag,John,Unknown,Business,Bachelor,
17863,Alexander,Chris,McGill University,History and Political Science,Bachelor,1989.0
17863,Alexander,Chris,University of Oxford,Political Science and Economy,Master,1991.0
8624,Alexander,George,Aberdeen University,Unknown,Unknown,
42,Alexander,Lincoln MacCauley,McMaster University,Arts,Bachelor,1949.0
42,Alexander,Lincoln MacCauley,Osgoode Hall Law School,Laws,Bachelor (Juris),1953.0
8947,Alghabra,Omar,Ryerson University,Mechanical Engineering,Degree,1994.0
8947,Alghabra,Omar,York University,Business Administration,Master,2000.0
2344,Alguire,Duncan Orestes,McGill University,Medicine,Unknown,
8444,Allan,George William,Unknown,Common Law,Honorary doctorate,
11529,Allan,George William,Trinity College,Unknown,Bachelor (Juris),1880.0
11529,Allan,George William,Trinity College,Unknown,Master,1896.0
11298,Allard,Carole-Marie,McGill University,Economics and Political Science,Bachelor,1978.0
11298,Allard,Carole-Marie,University of Ottawa,Laws,Licentiate,1989.0
9494,Allard,Maurice,Montreal University,Laws,Unknown,
8894,Allen,Henry Edgarton,Harvard University,Unknown,Unknown,
17295,Allen,Malcolm,Brock University,History and Political Science,Bachelor,1983.0
15626,Allen,Mike,University of New Brunswick,Business Administration,Bachelor,
15626,Allen,Mike,University of Pittsburgh,Business Administration,Master,
18479,Alleslev,Leona,Royal Military College of Canada,History and Political Science,Bachelor,
7873,Allison,Dean,Wilfrid Laurier University,Economics,Bachelor,
12753,Allmand,William Warren,St. Francis Xavier University,Unknown,Unknown,
12753,Allmand,William Warren,University of Paris,Unknown,Unknown,
12753,Allmand,William Warren,McGill University,Unknown,Unknown,
3866,Almon,William Johnston,University of King's College,Arts,Bachelor,1834.0
3866,Almon,William Johnston,University of Edinburgh,Medicine,Unknown,1837.0
3866,Almon,William Johnston,University of Glasgow,Medicine,Doctorate,1838.0
9905,Althouse,Victor Fredrich (Vic),University of Saskatchewan,Economics,Bachelor,
17877,Ambler,Stella,University of Toronto,Science,Bachelor,1989.0
17877,Ambler,Stella,University of Toronto,Psychology,Bachelor,
7490,Ambrose,Rona,University of Victoria,Arts,Bachelor,
7490,Ambrose,Rona,University of Alberta,Arts,Master,
13450,Ames,Herbert Brown,Amherst College,Unknown,Unknown,1915.0
18585,Amos,William,McMaster University,Arts and Sciences,Bachelor,
18585,Amos,William,McGill University,Civil Law,Diploma,
18585,Amos,William,University of British Columbia,Political Science,Master,
18585,Amos,William,McGill University,Common Law,Diploma,
20135,Anand,Anita,Queen's University,Political Studies,Bachelor,1989.0
20135,Anand,Anita,University of Oxford,,Bachelor,1991.0
20135,Anand,Anita,Dalhousie University,,Bachelor,1992.0
20135,Anand,Anita,University of Toronto,,Master,1996.0
18538,Anandasangaree,Gary,Carleton University,Arts,Bachelor,
18538,Anandasangaree,Gary,Osgoode Hall Law School,Laws,Diploma,
16591,Anders,Rob,University of Calgary,Political Science,Bachelor,1994.0
9980,Anderson,Alexander James,Osgoode Hall Law School,Laws,Unknown,
867,Anderson,David,University of British Columbia,Laws,Bachelor,1962.0
867,Anderson,David,University of Hong Kong,Language,Certificate,1967.0
8641,Anderson,David,University of Regina,Political Science,Bachelor,1979.0
8641,Anderson,David,Canadian Theological Seminary,Theology,Master,1990.0
1001,Anderson,Doris Margaret,Acadia University,Science,Bachelor,1944.0
1001,Anderson,Doris Margaret,Cornell University,Science,Master,1951.0
118,Anderson,Hugh Alan,University of Manitoba,History and Political Science,Bachelor,1955.0
20052,Anderson,Margaret Dawn,,Indigenous Governance,Master,
10261,Anderson,Robert King,University of Toronto,Medicine,Master,
10261,Anderson,Robert King,University of Edinburgh,Medicine,Degree,
2462,Andre,Harvie,University of Alberta,Chemistry,Bachelor,1962.0
2462,Andre,Harvie,University of Alberta,Chemistry,Doctorate,1966.0
2462,Andre,Harvie,California Institute of Technology,Unknown,Post-graduate studies,
17267,Andrews,Scott,Memorial Univerisity of Newfoundland,Political Science,Bachelor,
300,Andreychuk,Raynell,University of Saskatchewan,Arts,Bachelor,1966.0
300,Andreychuk,Raynell,University of Saskatchewan,Laws,Bachelor,1967.0
93,André,Guy,University of Quebec at Montréal,Social Work,Bachelor,1990.0
93,André,Guy,Laval University,Social Work,Master,1996.0
11603,Angers,Auguste Réal,Laval University,Laws,Unknown,
10565,Angus,Iain Francis,Lakehead University,Unknown,Unknown,
15499,Angus,W. David,Princeton University,Arts,Bachelor,1959.0
15499,Angus,W. David,McGill University,Civil Law,Bachelor,1962.0
5156,Archambault,Joseph,Laval University,Laws,Bachelor,
17029,Archambault,Joseph Éloi,Laval University,Unknown,Unknown,
13227,Argue,Hazen Robert,University of Saskatchewan,Agriculture,Bachelor,1944.0
13053,Armstrong,Ernest Frederick,University of Toronto,Dentistry,Licentiate,
13053,Armstrong,Ernest Frederick,University of Toronto,Dentistry,Master,
17761,Armstrong,Scott,Acadia University,Arts,Bachelor,1988.0
