PersonId,LastName,UsedFirstName,PersonRoleId,StartDate,EndDate,PartyEn,OrganizationTypeEn,OrganizationLongEn
13134,Abbott,Anthony Chisholm,94181,1974-07-08,1979-05-21,Liberal Party of Canada,Constituency,Mississauga
3761,Abbott,Douglas Charles,72009,1940-03-26,1949-06-26,Liberal Party of Canada,Constituency,St. Antoine--Westmount
3761,Abbott,Douglas Charles,60729,1949-06-27,1953-08-09,Liberal Party of Canada,Constituency,St. Antoine--Westmount
3761,Abbott,Douglas Charles,70522,1953-08-10,1954-06-30,Liberal Party of Canada,Constituency,Saint-Antoine--Westmount
14025,Abbott,Jim,121013,1993-10-25,1997-06-01,Reform Party of Canada,Constituency,Kootenay East
14025,Abbott,Jim,44415,1997-06-02,2011-05-01,Conservative Party of Canada,Constituency,Kootenay--Columbia
14025,Abbott,Jim,44415,1997-06-02,2011-05-01,Canadian Reform Conservative Alliance,Constituency,Kootenay--Columbia
14025,Abbott,Jim,44415,1997-06-02,2011-05-01,Reform Party of Canada,Constituency,Kootenay--Columbia
8200,Abbott,John Joseph Caldwell,65692,1867-09-20,1874-10-06,Liberal-Conservative,Constituency,Argenteuil
8200,Abbott,John Joseph Caldwell,84761,1880-02-12,1881-07-13,Liberal-Conservative,Constituency,Argenteuil
8200,Abbott,John Joseph Caldwell,59102,1881-08-17,1887-02-21,Liberal-Conservative,Constituency,Argenteuil
2003,Ablonczy,Diane,27373,1993-10-25,1997-06-01,Reform Party of Canada,Constituency,Calgary North
2003,Ablonczy,Diane,3786,1997-06-02,2015-10-18,Conservative Party of Canada,Constituency,Calgary--Nose Hill
2003,Ablonczy,Diane,3786,1997-06-02,2015-10-18,Canadian Reform Conservative Alliance,Constituency,Calgary--Nose Hill
2003,Ablonczy,Diane,3786,1997-06-02,2015-10-18,Reform Party of Canada,Constituency,Calgary--Nose Hill
18421,Aboultaif,Ziad,265454,2015-10-19,,Conservative Party of Canada,Constituency,Edmonton Manning
14709,Achim,Honoré,83173,1911-09-21,1917-12-16,Conservative (1867-1942),Constituency,Labelle
14709,Achim,Honoré,83173,1911-09-21,1917-12-16,Liberal Party of Canada,Constituency,Labelle
17878,Adams,Eve,162606,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,Mississauga--Brampton South
17878,Adams,Eve,162606,2011-05-02,2015-10-18,Liberal Party of Canada,Constituency,Mississauga--Brampton South
1331,Adams,Michael,85723,1891-03-05,1896-01-06,Conservative (1867-1942),Constituency,Northumberland
14267,Adams,Peter,61146,1993-10-25,2006-01-22,Liberal Party of Canada,Constituency,Peterborough
16376,Adamson,Agar Rodney,22671,1940-03-26,1954-04-08,Conservative (1867-1942),Constituency,York West
16376,Adamson,Agar Rodney,22671,1940-03-26,1954-04-08,Progressive Conservative Party,Constituency,York West
14156,Adamson,Alan Joseph,109774,1904-11-03,1908-10-25,Liberal Party of Canada,Constituency,Humboldt
4700,Addison,John Hollings,72866,1962-06-18,1968-06-24,Liberal Party of Canada,Constituency,York North
17890,Adler,Mark,162643,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,York Centre
14130,Adshead,Herbert Bealey,61153,1926-09-14,1930-07-27,Labour,Constituency,Calgary East
8324,Aglukkaq,Leona,132195,2008-10-14,2015-10-18,Conservative Party of Canada,Constituency,Nunavut
507,Ahearn,Thomas Franklin,78323,1930-07-28,1935-10-13,Liberal Party of Canada,Constituency,Ottawa (City of)
507,Ahearn,Thomas Franklin,104304,1935-10-14,1940-03-26,Liberal Party of Canada,Constituency,Ottawa West
8211,Aiken,Gordon Harvey,30841,1957-06-10,1972-10-29,Progressive Conservative Party,Constituency,Parry Sound--Muskoka
958,Aikins,James Albert Manning,81004,1911-09-21,1915-04-15,Conservative (1867-1942),Constituency,Brandon
13818,Aitken,Margaret,76729,1953-08-10,1962-06-17,Progressive Conservative Party,Constituency,York--Humber
15850,Alarie,Hélène,16633,1997-06-02,2000-11-26,Bloc Québécois,Constituency,Louis-Hébert
17852,Albas,Dan,162525,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,Okanagan--Coquihalla
17852,Albas,Dan,268119,2015-10-19,,Conservative Party of Canada,Constituency,Central Okanagan--Similkameen--Nicola
14757,Albrecht,Harold,82266,2006-01-23,,Conservative Party of Canada,Constituency,Kitchener--Conestoga
4112,Alcock,Reginald B.,47776,1993-10-25,2006-01-22,Liberal Party of Canada,Constituency,Winnipeg South
10112,Alcorn,George Oscar,107214,1900-11-07,1904-11-02,Conservative (1867-1942),Constituency,Prince Edward
10112,Alcorn,George Oscar,122201,1904-11-03,1908-10-25,Conservative (1867-1942),Constituency,Prince Edward
18432,Aldag,John,265487,2015-10-19,,Liberal Party of Canada,Constituency,Cloverdale--Langley City
17863,Alexander,Chris,162561,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,Ajax--Pickering
42,Alexander,Lincoln MacCauley,69236,1968-06-25,1980-05-28,Progressive Conservative Party,Constituency,Hamilton West
8947,Alghabra,Omar,85589,2006-01-23,2008-10-13,Liberal Party of Canada,Constituency,Mississauga--Erindale
8947,Alghabra,Omar,265750,2015-10-19,,Liberal Party of Canada,Constituency,Mississauga Centre
2344,Alguire,Duncan Orestes,44932,1911-09-21,1917-12-16,Conservative (1867-1942),Constituency,Stormont
4519,Alkenbrack,Almonte Douglas,104175,1962-06-18,1968-06-24,Progressive Conservative Party,Constituency,Prince Edward--Lennox
4519,Alkenbrack,Almonte Douglas,88303,1968-06-25,1979-05-21,Progressive Conservative Party,Constituency,Frontenac--Lennox and Addington
11529,Allan,George William,104638,1917-12-17,1921-12-05,Unionist,Constituency,Winnipeg South
14805,Allan,Henry William,78699,1891-03-05,1896-06-22,Liberal Party of Canada,Constituency,Norfolk South
7136,Allan,Hugh,27384,1926-09-14,1930-07-27,Liberal Party of Canada,Constituency,Oxford North
6869,Allard,Albert,25873,1910-01-29,1911-09-20,Liberal Party of Canada,Constituency,Ottawa (City of)
11298,Allard,Carole-Marie,92477,2000-11-27,2004-06-27,Liberal Party of Canada,Constituency,Laval East
7236,Allard,Eudore,40563,1972-10-30,1980-02-17,Social Credit Party of Canada,Constituency,Rimouski
9494,Allard,Maurice,109250,1958-03-31,1962-06-17,Progressive Conservative Party,Constituency,Sherbrooke
9494,Allard,Maurice,71644,1965-11-08,1968-03-06,Independent Progressive Conservative,Constituency,Sherbrooke
16354,Allen,Benjamin,121229,1882-06-20,1887-02-21,Liberal Party of Canada,Constituency,Grey North
8894,Allen,Henry Edgarton,92175,1908-10-26,1911-09-20,Liberal Party of Canada,Constituency,Shefford
17295,Allen,Malcolm,132152,2008-10-14,2015-10-18,New Democratic Party,Constituency,Welland
15626,Allen,Mike,83858,2006-01-23,2015-10-18,Conservative Party of Canada,Constituency,Tobique--Mactaquac
