PersonId,LastName,UsedFirstName,StraightDisplayName,Gender,LanguageEn,PartyEn,ConstituencyEn,ProvinceEn,TypeOfParliamentarianEn,DateOfBirth,DateOfBirthIsApproximate,CityOfBirthEn,ProvinceOfBirthEn,CountryOfBirthEn,IsCanadianOrigin,DiedInOffice,DateOfDeath,DeceasedOnDuty
3761,Abbott,Douglas Charles,Douglas Charles Abbott,M,,Liberal Party of Canada (1940/03/26 - 1954/06/30),Saint-Antoine--Westmount (1953/08/10 - 1954/06/30)|St. Antoine--Westmount (1949/06/27 - 1953/08/09)|St. Antoine--Westmount (1940/03/26 - 1949/06/26),Quebec|Quebec|Quebec,MP (1953/08/10 - 1954/06/30)|MP (1949/06/27 - 1953/08/09)|MP (1940/03/26 - 1949/06/26),1899-05-29,False,Lennoxville,Quebec,Canada,False,False,1987-03-15,False
16376,Adamson,Agar Rodney,Agar Rodney Adamson,M,,Progressive Conservative Party (1942/12/11 - 1954/04/08)|Conservative (1867-1942) (1940/03/26 - 1942/12/10),York West (1940/03/26 - 1954/04/08),Ontario,MP (1940/03/26 - 1954/04/08),1901-11-08,False,Toronto,Ontario,Canada,False,True,1954-04-08,True
13818,Aitken,Margaret,Margaret Aitken,F,,Progressive Conservative Party (1953/08/10 - 1962/06/17),York--Humber (1953/08/10 - 1962/06/17),Ontario,MP (1953/08/10 - 1962/06/17),1908-07-03,False,Newcastle,New Brunswick,Canada,False,False,1980-11-19,False
5387,Anderson,Raymond Elme,Raymond Elmer Anderson,M,,Liberal Party of Canada (1949/06/27 - 1957/06/09),Norfolk (1949/06/27 - 1957/06/09),Ontario,MP (1949/06/27 - 1957/06/09),1891-07-07,False,County Waterford,Ontario,Canada,False,False,1970-08-06,False
12036,Applewhaite,Edward Turney,Edward Turney Applewhaite,M,,Liberal Party of Canada (1949/06/27 - 1957/06/09),Skeena (1949/06/27 - 1957/06/09),British Columbia,MP (1949/06/27 - 1957/06/09),1898-11-23,False,Nelson,British Columbia,Canada,False,False,1964-09-12,False
13227,Argue,Hazen Robert,Hazen Robert Argue,M,,Liberal Party of Canada (1966/02/24 - 1991/10/02)|Liberal Party of Canada (1962/02/20 - 1963/04/07)|New Democratic Party (1961/08/03 - 1962/02/19)|Co-operative Commonwealth Federation (1945/06/11 - 1961/08/02),Regina (1966/02/24 - 1991/10/02)|Assiniboia (1949/06/27 - 1963/04/07)|Wood Mountain (1945/06/11 - 1949/06/26),Saskatchewan|Saskatchewan|Saskatchewan,MP (1949/06/27 - 1963/04/07)|MP (1945/06/11 - 1949/06/26)|Senator (1966/02/24 - 1991/10/02),1921-01-06,False,Kayville,Saskatchewan,Canada,False,False,1991-10-02,True
15753,Arsenault,Bona,Bona Arsenault,M,,Liberal Party of Canada (1949/06/27 - 1957/06/09)|Independent (1945/06/11 - 1949/06/26),Bonaventure (1945/06/11 - 1957/06/09),Quebec,MP (1945/06/11 - 1957/06/09),1903-10-04,False,Bonaventure,Quebec,Canada,False,False,1993-07-04,False
12602,Aseltine,Walter Morley,Walter Morley Aseltine,M,,Progressive Conservative Party (1942/12/11 - 1971/03/31)|Conservative (1867-1942) (1933/12/30 - 1942/12/10),Rosetown (1933/12/30 - 1971/03/31),Saskatchewan,Senator (1933/12/30 - 1971/03/31),1886-09-03,False,Napanee,Ontario,Canada,False,False,1971-11-14,False
3550,Ashbourne,Thomas Gordon William,Thomas Gordon William Ashbourne,M,,Liberal Party of Canada (1949/06/27 - 1958/03/31),Grand Falls--White Bay--Labrador (1953/08/10 - 1958/03/30)|Grand Falls--White Bay (1949/06/27 - 1953/08/09),Newfoundland and Labrador|Newfoundland and Labrado,MP (1953/08/10 - 1958/03/30)|MP (1949/06/27 - 1953/08/09),1894-12-04,False,Twillingate,Newfoundland,Canada,False,False,1984-03-08,False
14645,Baird,Alexander Boyd,Alexander Boyd Baird,M,,Liberal Party of Canada (1949/08/17 - 1967/11/23),St. John's (1949/08/17 - 1967/11/23),Newfoundland and Labrado,Senator (1949/08/17 - 1967/11/23),1891-08-31,False,St. John's,Newfoundland,,False,False,1967-11-23,True
2637,Balce,Léon,Léon Balce,M,,Independent (1965/04/07 - 1968/06/24)|Progressive Conservative Party (1949/06/27 - 1965/04/06),Trois-Rivières (1949/06/27 - 1965/11/07),Quebec,MP (1949/06/27 - 1965/11/07),1917-10-13,False,Trois-Rivières,Quebec,Canada,False,False,1991-03-22,False
11980,Balcom,Samuel Rosborough,Samuel Rosborough Balcom,M,,Liberal Party of Canada (1950/06/19 - 1957/06/09),Halifax (1950/06/19 - 1957/06/09),Nova Scotia,MP (1950/06/19 - 1957/06/09),1888-03-24,False,Port Dufferin,Nova Scotia,Canada,False,False,1981-05-04,False
3552,Barbou,George Hilton,George Hilton Barbou,M,,Liberal Party of Canada (1949/07/06 - 1962/02/06),Prince (1949/07/06 - 1962/02/06),Prince Edward Island,Senator (1949/07/06 - 1962/02/06),1878-09-05,False,Alma,Prince Edward Island,Canada,False,False,1962-02-06,True
9686,Barnett,Thomas Speakman,Thomas Speakman Barnett,M,,New Democratic Party (1969/04/08 - 1974/07/07)|New Democratic Party (1962/06/18 - 1968/06/24)|Co-operative Commonwealth Federation (1953/08/10 - 1958/03/30),Comox--Alberni (1969/04/08 - 1974/07/07)|Comox--Alberni (1962/06/18 - 1968/06/24)|Comox--Alberni (1953/08/10 - 1958/03/30),British Columbia|British Columbia|British Columbia,MP (1969/04/08 - 1974/07/07)|MP (1962/06/18 - 1968/06/24)|MP (1953/08/10 - 1958/03/30),1909-09-03,False,Red Dee,Alberta,Canada,False,False,2003-06-05,False
